scenario,event_type,distance_vector_mode,distance_vector_update_strategy,link_state_before_flood_rounds,link_state_before_flood_events,distance_vector_before_rounds,distance_vector_before_converged,link_state_after_flood_rounds,link_state_after_flood_events,link_state_changed_routers,distance_vector_after_rounds,distance_vector_after_converged,observation_count
baseline-topology,,classic,periodic,1,10,3,True,,,,,,1
baseline-topology,,classic,triggered,1,10,6,True,,,,,,1
baseline-topology,,split-horizon,periodic,1,10,3,True,,,,,,1
baseline-topology,,split-horizon,triggered,1,10,6,True,,,,,,1
baseline-topology,,poison-reverse,periodic,1,10,3,True,,,,,,1
baseline-topology,,poison-reverse,triggered,1,10,6,True,,,,,,1
link-failure-b-d,remove-link,classic,periodic,1,10,3,True,1,8,"B,D",1,True,3
link-failure-b-d,remove-link,classic,triggered,1,10,6,True,1,8,"B,D",4,True,3
link-failure-b-d,remove-link,split-horizon,periodic,1,10,3,True,1,8,"B,D",1,True,2
link-failure-b-d,remove-link,split-horizon,triggered,1,10,6,True,1,8,"B,D",4,True,2
link-failure-b-d,remove-link,poison-reverse,periodic,1,10,3,True,1,8,"B,D",1,True,2
link-failure-b-d,remove-link,poison-reverse,triggered,1,10,6,True,1,8,"B,D",4,True,2
inline-square-topology,remove-link,classic,periodic,1,8,2,True,1,6,"B,D",4,True,3
inline-square-topology,remove-link,classic,triggered,1,8,6,True,1,6,"B,D",10,True,3
inline-square-topology,remove-link,split-horizon,periodic,1,8,2,True,1,6,"B,D",4,True,2
inline-square-topology,remove-link,split-horizon,triggered,1,8,6,True,1,6,"B,D",10,True,2
inline-square-topology,remove-link,poison-reverse,periodic,1,8,2,True,1,6,"B,D",4,True,2
inline-square-topology,remove-link,poison-reverse,triggered,1,8,6,True,1,6,"B,D",10,True,2
