job,plugin,scenario,dataset_family,seed,reducers,shard_index,reducer,records,unique_keys
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,0,0,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,0,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,1,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,1,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,2,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,2,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,3,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,3,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,4,0,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,4,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,5,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,5,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,6,0,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,6,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,7,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,2,7,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,0,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,0,1,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,0,2,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,0,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,1,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,1,1,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,1,2,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,1,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,2,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,2,1,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,2,2,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,2,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,3,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,3,1,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,3,2,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,3,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,4,0,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,4,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,4,2,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,4,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,5,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,5,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,5,2,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,5,3,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,6,0,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,6,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,6,2,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,6,3,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,7,0,0,0
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,7,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,7,2,1,1
plugin,projects/mini-mapreduce-lab/plugins_streaming_window.py,skewed,iot-burst,42,4,7,3,0,0
