job,plugin,scenario,dataset_family,seed,reducers,shard_index,reducer,records,unique_keys
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,0,0,8,8
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,0,1,6,6
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,1,0,9,9
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,1,1,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,2,0,10,10
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,2,1,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,3,0,8,8
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,3,1,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,4,0,10,10
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,4,1,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,5,0,7,7
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,5,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,6,0,9,9
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,6,1,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,7,0,10,10
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,2,7,1,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,0,0,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,0,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,0,2,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,0,3,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,1,0,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,1,1,1,1
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,1,2,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,1,3,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,2,0,6,6
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,2,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,2,2,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,2,3,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,3,0,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,3,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,3,2,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,3,3,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,4,0,7,7
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,4,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,4,2,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,4,3,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,5,0,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,5,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,5,2,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,5,3,1,1
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,6,0,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,6,1,2,2
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,6,2,4,4
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,6,3,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,7,0,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,7,1,3,3
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,7,2,5,5
plugin,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,42,4,7,3,1,1
